"MD_EARN_WNE_P6","HIGHDEG","REGION","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","C150_4","C150_L4","UGDS","UGDS_MEN","NPT4_PUB","NPT4_PRIV","PCIP04","PCIP05","PCIP09","PCIP11","PCIP12","PCIP14","PCIP23","PCIP26","PCIP27","PCIP38","PCIP42","PCIP45","PCIP50","PCIP51","PCIP52","PCIP54","ADM_RATE","SAT_AVG"
35093,NA,"Southeast",0.004,0.8454,0.0087,0.71,0.0016,0.0186,0.4242,NA,2529,0.3638,NA,35353,0.0142,0,0.0142,0.0355,0,0.2033,0.026,0.0567,0.0118,0,0.0922,0.052,0,0.0709,0.2033,0.0095,0.5182,1119
35456,NA,"Far West",0.5321,0.0326,0.0782,1.95,0.1376,0.0082,0.3154,NA,4657,0.435,11297,NA,0,0.0017,0.013,0.0138,0.0156,0.0977,0.013,0.0346,0.0035,0.0017,0.0233,0.0216,0.0207,0.1685,0.0951,0.0035,0.7611,1128
46621,NA,"Southwest",0.5008,0.0372,0.215,8,0.0114,0.002,0.6904,NA,42529,0.559,11644,NA,0.0156,0.005,0.0309,0.049,0,0.1151,0.0165,0.0747,0.0136,0.0059,0.0446,0.0915,0.0624,0.0121,0.2901,0.0073,0.8478,1240
43784,NA,"Southwest",0.5009,0.0394,0.2689,5.26,0.0121,0.0023,0.6448,NA,33509,0.4736,14553,NA,0.0207,0.0082,0.0511,0.0436,0,0.0793,0.0164,0.1008,0.0129,0.0092,0.0651,0.0684,0.0298,0.0808,0.158,0.0076,0.8442,1198
35500,NA,"Southwest",0.478,0.1277,0.2113,1.13,0.0085,0.0057,0.4512,NA,705,0.5674,NA,20765,0,0,0.0599,0,0,0,0,0.0539,0,0,0.1856,0.0898,0,0,0.3353,0,0.5644,1032
35410,NA,"Southeast",0.4913,0.2818,0.0466,2.32,0.0022,0,0.3945,NA,6328,0.3807,12102,NA,0,0,0.0428,0.0334,0,0.0223,0.0287,0.0404,0.0088,0.0035,0.0545,0.0316,0.0293,0.2595,0.1254,0.0146,0.7933,1099
30527,NA,"Southeast",0.658,0.0931,0.0687,3.82,0.0198,0,0.4906,NA,655,0.5664,NA,17032,0,0,0,0.0476,0,0,0.0612,0.2041,0.0612,0.0068,0.1837,0.1156,0.0476,0,0.1701,0.0476,0.4986,1195
43807,NA,"Southeast",0.7597,0.0413,0.0898,2.5,0.0087,9e-04,0.6553,NA,23121,0.4649,15642,NA,0.0113,7e-04,0.0672,0.0133,0,0.1206,0.0137,0.0445,0.0059,0.0028,0.0321,0.0467,0.0247,0.0995,0.2511,0.014,0.7747,1238
26331,NA,"Southeast",0.0345,0.9092,0.0186,0.28,0.0016,0,0.2883,NA,2467,0.4131,10684,NA,0,0,0.0518,0.0285,0,0,0.0078,0.1036,0.0207,0,0.0233,0.0311,0.0155,0.0648,0.1399,0,0.4435,978
32687,NA,"Southeast",0.7478,0.1309,0.0324,0.89,0.0031,6e-04,0.4822,NA,8623,0.4003,13605,NA,0,0,0.0449,0.0144,0,0.0214,0.0074,0.0362,0.0041,0.0012,0.0268,0.0494,0.0218,0.1894,0.1177,0.0058,0.7721,1189
47112,NA,"Southeast",0.7068,0.2191,0.0309,1.23,0.0031,0,NA,0.2,648,0.1358,NA,22776,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6667,1015
34259,NA,"Southeast",0.6583,0.1695,0.0565,2.08,0.0052,6e-04,0.4113,NA,8906,0.3958,14723,NA,0,0,0.0321,0.0439,0,0,0.0287,0.0569,0.0135,0.0039,0.071,0.0558,0.0592,0.1741,0.1848,0.013,0.911,1186
33652,NA,"Southeast",0.6757,0.187,0.0483,0.3,0.0166,0.003,0.3365,NA,663,0.54,NA,14485,0,0,0.029,0,0,0,0.0072,0.058,0,0,0.1159,0,0.029,0,0.2971,0.029,0.6074,1004
39240,NA,"Southeast",0.8133,0.0443,0.0377,0.81,0.003,3e-04,0.6719,NA,3953,0.4617,NA,19563,0,0,0.0662,0.0554,0,0.0326,0.013,0.0499,0.0065,0,0.0391,0.0098,0.038,0.1325,0.1792,0.0119,0.7462,1222
32627,NA,"Southeast",0.6585,0.2076,0.0534,0.73,0.0043,0.001,0.3476,NA,2996,0.4342,13473,NA,0,0,0.017,0.0114,0,0,0.0284,0.0246,0.0019,0,0.0795,0.0265,0.0587,0.0871,0.1761,0.0227,0.9055,1116
38321,NA,"Southeast",0.698,0.0763,0.0562,4.95,0.0067,8e-04,0.7073,NA,1192,0.4807,NA,21215,0,0,0,0.0286,0,0,0.0408,0.2204,0.0122,0.0449,0.1143,0.2122,0.0449,0.0327,0.0531,0.0245,0.7217,1346
41915,NA,"Southeast",0.7378,0.0254,0.0698,1.27,0.0178,0.0019,0.6572,NA,1575,0.4146,NA,22210,0,0,0.0253,0,0,0.0608,0.0177,0.0456,0.0025,0.0025,0.0481,0.0025,0.0937,0.0684,0.3696,0.0101,0.7715,1257
38561,NA,"Southeast",0.8092,0.0796,0.0524,0.45,0.0052,6e-04,0.6419,NA,1546,0.4489,NA,18881,0,0,0.0515,0.0121,0,0,0.0182,0.1455,0.0061,0.0485,0.0455,0.0273,0.0879,0.0576,0.2394,0.0424,0.636,1193
32401,NA,"Southeast",0.4768,0.0812,0.1288,0.81,0.0116,0,0.4968,NA,862,0.493,NA,16089,0,0,0.027,0,0,0,0.009,0.0901,0.018,0.009,0.0721,0.0991,0.0811,0.1261,0.2883,0.018,0.5232,1079
32457,NA,"Southeast",0.7217,0.1283,0.0522,1.09,0.0065,0.0022,0.3806,NA,460,0.5717,NA,18001,0,0,0,0,0,0,0.0204,0.0612,0,0,0.1531,0,0.0306,0,0.1939,0.0204,0.5639,1034
32077,NA,"Southeast",0.6497,0.2513,0.0456,0.84,0.0059,0.0012,0.4051,NA,3203,0.4508,13602,NA,0,0,0.0114,0.0142,0,0.0185,0.01,0.0271,0.0071,0,0.0456,0.0142,0.0313,0.0613,0.1752,0.0114,0.6878,1105
49365,NA,"Far West",0.3726,0.0611,0.3322,9.5,0.0029,0.0106,0.6263,NA,5545,0.3459,NA,25451,0,0.0064,0.0524,0.0166,0,0,0.0205,0.0211,0.0058,0.0058,0.1132,0.0294,0.0729,0.3523,0.133,0.007,0.6851,1147
