"MD_EARN_WNE_P6","HIGHDEG","REGION","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","C150_4","C150_L4","UGDS","UGDS_MEN","NPT4_PUB","NPT4_PRIV","PCIP04","PCIP05","PCIP09","PCIP11","PCIP12","PCIP14","PCIP23","PCIP26","PCIP27","PCIP38","PCIP42","PCIP45","PCIP50","PCIP51","PCIP52","PCIP54","ADM_RATE","SAT_AVG"
36878,NA,"Great Lakes",0.6708,0.1854,0.0485,1.17,0.0036,7e-04,0.4078,NA,10348,0.4425,13119,NA,0.0044,5e-04,0.0401,0.0266,0,0,0.0126,0.0218,0.0048,0.0015,0.0426,0.0943,0.0309,0.1746,0.1654,0.0063,0.8991,1019
37115,NA,"Great Lakes",0.8216,0.0447,0.0546,0.99,0.004,4e-04,0.3688,NA,2730,0.359,8805,NA,0,0,0.0526,0.0238,0,0,0.0187,0.017,0.0017,0,0.0543,0.0187,0.0034,0.3735,0.1239,0.0204,0.7999,1047
36707,NA,"Great Lakes",0.6924,0.0832,0.1199,1.63,0.0017,0.0011,0.3208,NA,4603,0.3663,8859,NA,0,0.0075,0.0724,0.0474,0,0,0.0162,0.0312,0.0037,0.0012,0.0587,0.0312,0.0225,0.211,0.1735,0.0125,0.819,1033
47001,NA,"Great Lakes",0.6908,0.0456,0.0648,5.81,0.001,2e-04,0.7796,NA,32991,0.5043,13428,NA,0,0.0028,0.0712,0.0863,0,0,0.0082,0.0737,0.0151,0.0019,0.039,0.0512,0.0464,0.0389,0.259,0.0056,0.7691,1275
32739,NA,"Great Lakes",0.5287,0.1544,0.2417,3.08,0.0015,0,0.3386,NA,3380,0.2967,7665,NA,0,0,0.024,0.0321,0,0,0.016,0.0337,0.0016,0,0.0561,0.0192,0.0192,0.3285,0.1458,0.008,0.7961,1022
37322,NA,"Great Lakes",0.8195,0.0654,0.0459,1.51,0.0011,4e-04,0.3217,NA,4555,0.3917,9517,NA,0,0.0022,0.056,0.0472,0,0,0.0241,0.0472,0.0154,0.0011,0.0823,0.0648,0.022,0.1427,0.2108,0.0099,0.8508,1050
37381,NA,"Great Lakes",0.7847,0.0522,0.0376,0.89,0.0033,0,0.4055,NA,3028,0.3573,8875,NA,0,0,0.0503,0.0066,0,0,0.0357,0.037,0.0476,0,0.1257,0.0185,0.0026,0.1746,0.2447,0.0053,0.6488,1037
45860,NA,"Great Lakes",0.7273,0.1051,0.0606,2.79,4e-04,0.0013,0.5705,NA,2226,0.3693,NA,19937,0,0,0.0208,0.0016,0,0,0.016,0.0528,0.008,0.0272,0.032,0.0224,0.0128,0.4576,0.216,0.008,0.6138,1125
49124,NA,"Great Lakes",0.8417,0.0329,0.0382,1.66,0.0015,0.0011,0.663,NA,2647,0.3551,NA,19818,0,0,0.0332,0.0253,0,0,0.0158,0.0506,0.0095,0.0032,0.038,0.0158,0.0538,0.2943,0.1076,0.0063,0.6829,1139
76123,NA,"Great Lakes",0.6844,0.0378,0.1082,4.76,0.0022,5e-04,0.9696,NA,8568,0.5235,NA,32096,0.0166,0.006,0,0.0607,0,0.1717,0.0193,0.0865,0.0295,0.0069,0.0276,0.1017,0.0295,0.0318,0.2977,0.011,0.1771,1502
36933,NA,"Great Lakes",0.7478,0.0746,0.0391,0.18,0.0053,0,0.5728,NA,563,0.5346,NA,14850,0,0,0.0225,0,0,0,0,0.0449,0,0.0169,0.0393,0,0.0056,0,0.382,0.0169,0.497,1013
79785,NA,"Great Lakes",0.6565,0.0309,0.0473,5.6,0.001,0.001,0.8142,NA,2073,0.7535,NA,38433,0,0,0,0.1275,0,0.8386,0,0.01,0.01,0,0,0,0,0,0,0,0.682,1387
41658,NA,"Great Lakes",0.7734,0.0738,0.0829,1.52,0.0011,6e-04,0.5495,NA,1774,0.283,NA,17460,0,0,0.0098,0,0,0,0.002,0.0354,0,0,0.0276,0.0039,0.0591,0.6476,0.0571,0.0059,0.9342,1062
33202,NA,"Great Lakes",0.8034,0.0509,0.0255,0.71,0.0014,0.0028,0.5735,NA,707,0.1358,NA,16232,0,0,0,0,0,0,0.0331,0.0066,0.0132,0,0.1391,0.0265,0.0331,0.1788,0.1523,0,0.721,1027
49118,NA,"Great Lakes",0.7658,0.0243,0.1306,1.74,0.0014,7e-04,0.777,NA,1439,0,NA,22200,0,0.0028,0.0708,0,0,0,0.0368,0.0963,0.0595,0.0085,0.0992,0.0482,0.034,0.1785,0.1615,0.0198,0.819,1186
52427,NA,"Great Lakes",0.8889,0.0238,0.0317,1.59,0.0079,0,NA,0.375,126,0.0476,NA,20028,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,922
38679,NA,"Great Lakes",0.8347,0.0355,0.0371,2.91,0.0064,0.0026,0.8249,NA,1888,0.4582,NA,24306,0,0,0.0812,0.0533,0,0.0076,0.0457,0.1396,0.0025,0.0025,0.0635,0.0508,0.1041,0.0279,0.1447,0.0127,0.7764,1211
45217,NA,"Great Lakes",0.7989,0.0413,0.0466,1.31,0.0019,0.0015,0.651,NA,2059,0.6906,NA,24727,0,0,0.0137,0.0656,0,0.3005,0.0055,0.0355,0,0,0.0273,0,0,0,0.1093,0,0.734,1144
47544,NA,"Great Lakes",0.7215,0.0555,0.0943,2.05,6e-04,0,0.71,NA,3170,0.4426,NA,21635,0,0.0015,0.0409,0.0161,0,0.1635,0.0175,0.038,0.0073,0,0.038,0.0511,0.0336,0.2088,0.1489,0.0044,0.8931,1204
47697,NA,"Great Lakes",0.7446,0.0568,0.0885,0.91,0,0,0.7063,NA,881,1,NA,20549,0,0.0101,0,0,0,0,0.1005,0.1206,0.1307,0.0754,0.0553,0.2261,0.0503,0,0,0.0704,0.6497,1223
38666,NA,"Plains",0.7393,0.0375,0.0511,0.78,0.0052,6e-04,0.5439,NA,1546,0.3473,NA,20087,0,0,0.0286,0.0118,0,0,0.0151,0.0235,0.0017,0.0017,0.0874,0,0.0118,0.0101,0.3126,0.0151,0.5713,1094
41571,NA,"Plains",0.8597,0.0242,0.0576,1.3,0.0028,9e-04,0.7156,NA,1076,0.4991,NA,21421,0,0,0.0478,0.0382,0,0.0064,0.0255,0.2516,0.0191,0.0032,0.0573,0.1115,0.0478,0.051,0.1465,0.0223,0.6999,1156
43095,NA,"Plains",0.7442,0.0807,0.0903,1.37,0.0027,0.0068,0.6323,NA,731,0.4131,NA,23464,0,0,0.0193,0.0193,0,0,0.0097,0.0821,0,0.0097,0.1546,0,0.029,0.3333,0.1353,0.0193,0.8248,1058
43025,NA,"Plains",0.6808,0.0782,0.1059,4.89,0.0037,0.0022,0.6556,NA,1369,0.4412,NA,20349,0,0.0182,0.0327,0.0182,0,0,0.0291,0.1527,0.0218,0,0.0982,0.0764,0.0691,0.0945,0.1491,0.04,0.6693,1211
36662,NA,"Plains",0.682,0.0626,0.0753,3.52,0.0176,0.001,0.7583,NA,1022,0.5205,NA,27204,0,0.0227,0,0.0409,0,0.0136,0.05,0.15,0.0182,0.0273,0.0727,0.0955,0.0955,0,0.0818,0.0591,0.6102,1240
41889,NA,"Plains",0.8061,0.0134,0.0282,0.97,0.0052,0.0015,0.7307,NA,1346,0.5416,NA,24513,0,0,0.0253,0.0108,0,0.1011,0.0036,0.0433,0.0036,0,0.0397,0.0144,0.0217,0.0433,0.1986,0.0036,0.7316,1219
54644,NA,"Plains",0.7703,0.0484,0.061,4.27,3e-04,0,0.7837,NA,2952,0.418,NA,29046,0,0,0.1185,0.0296,0,0,0.0533,0.0723,0.0166,0,0.0367,0.0794,0.0711,0.0592,0.34,0.0178,0.6766,1278
40489,NA,"Plains",0.6097,0.1649,0.086,1.02,0.0041,0.0041,0.4341,NA,1965,0.5588,NA,23759,0,0,0.0341,0.084,0,0,0.0079,0.0341,0.0026,0.0052,0.0184,0.0157,0.0105,0.0971,0.231,0,0.7303,998
28962,NA,"Plains",0.7124,0.0558,0.0472,4.29,0.03,0,0.7561,NA,233,0.4464,NA,15728,0,0,0,0.0784,0,0,0,0,0,0,0.0882,0,0,0,0.0784,0,0.9492,1120
28349,NA,"Plains",0.908,0.0077,0.0077,3.45,0.0038,0,0.5072,NA,261,0.4559,NA,14623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1159,0,0.6229,1101
37822,NA,"Plains",0.6409,0.0978,0.1076,1.33,0.0053,0.0169,0.5067,NA,1125,0.4222,NA,18693,0,0,0.036,0.036,0,0,0.021,0.012,0.006,0,0.03,0.003,0.027,0.3093,0.1802,0.03,0.5806,1056
42643,NA,"Plains",0.6557,0.0768,0.0462,3.35,0.0023,0.0029,0.5034,NA,1731,0.4506,NA,19121,0,0,0.0277,0.0462,0,0,0.0069,0.0785,0.0046,0,0.067,0.0115,0.0485,0.1062,0.2425,0.0046,0.9198,1060
43599,NA,"Plains",0.5039,0.0529,0.0755,7.84,0,0,0.8378,NA,1683,0.4545,NA,25358,0,0.0156,0,0.0961,0,0,0.0545,0.1818,0.0494,0.0208,0.0597,0.2727,0.0364,0,0,0.0468,0.2438,1450
48810,NA,"Plains",0.7492,0.0267,0.059,3.46,0.0019,6e-04,0.7472,NA,29248,0.5776,15140,NA,0.0185,9e-04,0.0431,0.0138,0,0.2278,0.0113,0.0571,0.009,0.0026,0.0274,0.0235,0.0394,0.0147,0.1892,0.0107,0.906,1219
37352,NA,"Plains",0.4125,0.1582,0.0808,0.67,0.0017,0.0034,0.2232,NA,594,0.4865,NA,26702,0,0,0,0,0,0,0.0116,0.1163,0,0,0.0698,0,0.0233,0.1512,0.3023,0,0.5802,1044
48768,NA,"Plains",0.7242,0.0302,0.077,4.19,0.0018,8e-04,0.7321,NA,23410,0.466,15893,NA,0,0.0058,0.0663,0.0222,0,0.0895,0.0258,0.0338,0.0254,0.0039,0.0542,0.0684,0.0443,0.0719,0.2075,0.0138,0.8267,1233
44088,NA,"Plains",0.8134,0.0316,0.0823,0.73,7e-04,7e-04,0.6756,NA,1361,0.5445,NA,18940,0,0,0.0949,0.0063,0,0.0285,0.0538,0.0696,0.0158,0.0222,0.057,0.0506,0.0063,0.0348,0.231,0.019,0.9268,1113
44001,NA,"Plains",0.7928,0.0213,0.0557,1.47,0.002,0.002,0.7935,NA,1974,0.4276,NA,23792,0,0.0021,0.0274,0.0316,0,0,0.0549,0.1055,0.0274,0.0127,0.0464,0.0717,0.1266,0.1224,0.1013,0.0338,0.6257,1236
40553,NA,"Plains",0.7347,0.0218,0.0718,0.97,0.0048,0.0024,0.5055,NA,1240,0.5,NA,23214,0,0,0.0321,0.025,0,0.0036,0.025,0.1464,0.0107,0.0036,0.0786,0.05,0.0393,0.0893,0.2286,0.0071,0.5758,1135
46497,NA,"Plains",0.7762,0.0786,0.0081,2.28,0.0148,0.004,0.7089,NA,1488,0.3125,NA,20988,0,0,0.0078,0.0234,0,0,0.0104,0.0365,0,0,0.0547,0.013,0.0208,0.3073,0.3646,0.0052,0.6281,1120
43071,NA,"Plains",0.8212,0.0277,0.0391,1.34,0.0037,7e-04,0.6547,NA,9391,0.4162,16244,NA,0,0,0.0746,0.0169,0,0,0.0293,0.0412,0.0169,0.0032,0.0435,0.054,0.0467,0.0513,0.2019,0.016,0.8074,1169
40388,NA,"Plains",0.832,0.0199,0.0447,1.19,0.002,0,0.6854,NA,1006,0.4423,NA,23406,0,0,0.0153,0.0115,0,0,0.0115,0.0843,0.0077,0.0192,0.0345,0.0192,0.0307,0.1226,0.2222,0.023,0.7143,1183
46441,NA,"Plains",0.7318,0.0437,0.0804,1.83,0.0017,0.0017,0.6707,NA,2289,0.4474,NA,24895,0,0.0083,0.0199,0.0398,0,0.0448,0.0116,0.0498,0.0017,0,0.1111,0.0232,0.0299,0.1327,0.2106,0.0083,0.6269,1132
43356,NA,"Plains",0.8148,0.029,0.0523,1.38,0,0.0015,0.6961,NA,1377,0.4691,NA,23187,0,0,0.0327,0.0572,0,0,0.0354,0.0681,0.0163,0.0109,0.049,0.0681,0.0272,0.0436,0.2534,0.0218,0.8423,1136
43333,NA,"Plains",0.6249,0.202,0.0616,1.73,0.004,0.0028,0.4308,NA,3524,0.3913,NA,21526,0,0,0.0119,0.004,0,0,0.0016,0.0111,0.0016,0,0.0839,0.1069,0.0143,0.1164,0.3523,0,0.5047,1063
38821,NA,"Plains",0.5004,0.1124,0.0572,2.04,0.0117,0.002,0.2857,NA,2554,0.6245,NA,20534,0,0,0.0248,0,0,0,0.0041,0.0041,0,0,0.077,0,0.0041,0.0426,0.216,0.0055,0.7544,1028
43742,NA,"Plains",0.7629,0.0416,0.047,1.29,0.0014,7e-04,0.6743,NA,1468,0.4653,NA,22089,0,0,0.0632,0.0192,0,0.0769,0.0055,0.1731,0.0302,0.0137,0.0495,0.0742,0.0412,0.022,0.1841,0.0137,0.7571,1143
48706,NA,"Plains",0.7201,0.0982,0.0822,1.25,0.0084,0.0042,0.5891,NA,1436,0.4311,NA,21618,0,0,0.0323,0.0108,0,0,0.0086,0.0151,0.0086,0,0.0366,0.0302,0.0022,0.1444,0.5302,0.0086,0.8765,1126
39168,NA,"Plains",0.7972,0.031,0.0769,0.93,0.0057,0.0036,0.5975,NA,1938,0.4783,NA,23767,0,0,0.0583,0.014,0,0.0746,0.0303,0.0606,0.0233,0.007,0.0559,0.1026,0.0466,0.0629,0.1958,0.014,0.9284,1194
38134,NA,"Plains",0.6056,0.146,0.1652,1.15,0.0038,0.0128,0.2901,NA,781,0.5941,NA,29482,0,0,0,0,0,0,0.0175,0.1491,0,0.0088,0.0439,0.1228,0.1053,0.0175,0.2105,0.0175,0.6776,1035
39732,NA,"Plains",0.6991,0.1538,0.0837,1.81,0.009,0,0.5248,NA,442,0.4615,NA,25213,0,0,0.0417,0.0104,0,0,0.0208,0.0625,0.0313,0.0104,0.0417,0,0.0417,0.2188,0.2083,0.0104,0.441,1077
37417,NA,"Plains",0.6916,0.0429,0.0731,0.93,0.0038,6e-04,0.4526,NA,3447,0.3751,14166,NA,0,0,0.042,0.0366,0,0,0.0203,0.0434,0,0,0.042,0.0488,0.0393,0.1314,0.1748,0.0257,0.8532,1118
38504,NA,"Plains",0.5826,0.0896,0.0878,1.4,0.0159,0.0019,0.3938,NA,1071,0.4613,NA,18065,0,0,0.0288,0.0647,0,0,0.0072,0.054,0.0072,0.0144,0.0791,0.0072,0.0504,0.0396,0.4065,0.0036,0.4739,1078
28432,NA,"Plains",0,0,0,0,1,0,0.4518,NA,730,0.4137,3037,NA,0,0.1643,0.0145,0,0,0,0,0,0,0,0,0,0,0.029,0.1932,0,0.676,961
46973,NA,"Plains",0.7078,0.0425,0.0847,4.8,0.0031,9e-04,0.6478,NA,19135,0.4846,18571,NA,0.0071,0.0103,0.0876,0.022,0,0.1072,0.0223,0.045,0.0139,0.0054,0.0529,0.0558,0.0565,0.1184,0.1642,0.013,0.9171,1250
41657,NA,"Plains",0.6347,0.0522,0.1314,6.71,0.0093,9e-04,0.5397,NA,1073,0.3467,NA,13417,0,0,0.0435,0.0167,0,0,0.0134,0.0936,0.0067,0.0033,0.0635,0.01,0,0.3411,0.097,0.0167,0.6182,1143
42374,NA,"Plains",0.6129,0.1306,0.1659,0.46,0.0031,0.0031,0.3741,NA,651,0.5975,NA,25302,0,0,0.0714,0.0317,0,0.0238,0.0079,0.0476,0.0159,0,0.0635,0,0.0238,0.0952,0.2698,0,0.4681,1115
31427,NA,"Plains",0.5822,0.0622,0.0889,0.44,0.0044,0,0.6974,NA,225,0.6133,NA,21285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1791,0,0.5812,1115
39462,NA,"Plains",0.6327,0.1257,0.1508,0.98,0.0182,0.0014,0.3657,NA,716,0.6718,NA,21871,0,0,0.0656,0,0,0,0.0082,0.0656,0,0.0082,0.0164,0.0328,0.0328,0.0164,0.1885,0.0082,0.7709,1084
50098,NA,"Plains",0.6,0.1293,0.0543,2.33,0.0086,0.006,0.42,NA,1160,0.4052,NA,20496,0,0,0.0094,0,0,0,0.0024,0.0118,0.0071,0.0165,0.0259,0.0047,0.0118,0.4424,0.2471,0.0071,0.5853,1104
42665,NA,"Plains",0.5439,0.1431,0.1204,0.85,0.0269,0.0057,0.4459,NA,706,0.585,NA,25322,0,0,0.0495,0,0,0.0396,0.0099,0.099,0.0099,0,0.0891,0,0.0297,0,0.2772,0.0792,0.7815,1024
39179,NA,"Plains",0.79,0.0379,0.0578,1.05,0.0134,0.0014,0.5301,NA,5067,0.5198,13910,NA,0,0,0.05,0.02,0,0,0.0125,0.0491,0.0075,0,0.0541,0.015,0.0133,0.0849,0.2115,0.0042,0.8958,1150
45019,NA,"Plains",0.4877,0.1202,0.1626,1.09,0.0109,0.0123,0.5517,NA,732,0.515,NA,20798,0,0,0,0,0,0,0.0052,0.067,0.0103,0,0.0825,0.0412,0.0155,0.5464,0.0567,0.0361,0.6135,1083
42143,NA,"Plains",0.417,0.1096,0.0921,1.52,0.0076,0.0061,0.4762,NA,1314,0.6332,NA,23029,0,0,0.0238,0.1017,0,0,0,0.0238,0,0.0152,0.0433,0.0498,0.0238,0.0736,0.3918,0.0065,0.5553,1050
35619,NA,"Plains",0.5634,0.1813,0.1778,2.11,0.0246,0,0.5324,NA,568,0.5915,NA,19940,0,0,0.0776,0,0,0,0.0172,0.0948,0.0086,0.069,0.0172,0,0.0948,0.1121,0.1552,0,0.4052,1039
41710,NA,"Plains",0.6333,0.1133,0.1317,0,0.0083,0.0067,0.4214,NA,600,0.5583,NA,24394,0,0,0.0395,0,0,0,0.0132,0.0461,0.0132,0.0066,0.0658,0.0526,0.0263,0.1776,0.2368,0.0329,0.5748,1066
39996,NA,"Plains",0.6033,0.0604,0.1257,7.25,0.0068,9e-04,0.4703,NA,11148,0.463,14876,NA,0,0.0022,0.0298,0.0315,0,0.1209,0.0073,0.0604,0.0052,0.0047,0.0475,0.0155,0.0358,0.1749,0.1727,0.0035,0.965,1152
28625,NA,"Southeast",0.9255,0.0264,0.0186,0,0.0062,0,0.7005,NA,644,0.4643,NA,13540,0,0,0,0,0,0,0.0581,0.186,0,0,0,0.1628,0,0,0.1279,0.093,0.2778,1054
44265,NA,"Southeast",0.799,0.0486,0.0398,2.01,0.002,8e-04,0.6733,NA,2488,0.3601,NA,23223,0,0,0.0753,0.0175,0,0.0088,0.0263,0.0648,0.0088,0.0018,0.0771,0.0385,0.0403,0.289,0.1331,0.014,0.8584,1211
30747,NA,"Southeast",0.5387,0.1613,0.1196,2.7,0.0012,6e-04,0.6282,NA,1630,0.4252,NA,1964,0,0.0426,0.0525,0.0721,0,0,0.059,0.0984,0.0197,0.0131,0.059,0.0787,0.0721,0.0361,0.0852,0.0131,0.382,1192
32661,NA,"Southeast",0.6275,0.1318,0.0719,1.42,0.0054,0.0033,0.35,NA,918,0.2789,NA,13106,0,0,0,0.0157,0,0.0052,0.0209,0.0366,0,0,0.0419,0.0209,0.0209,0.0366,0.1518,0.0052,0.3855,1118
32356,NA,"Southeast",0.6994,0.1352,0.0349,0.44,0.0036,0.0016,0.4014,NA,2522,0.4132,NA,17872,0,0,0.0368,0.0158,0,0,0.0079,0.0237,0.0132,0,0.0342,0.0105,0.0342,0.1105,0.1658,0,0.8334,1082
44830,NA,"Southeast",0.7256,0.0533,0.0653,4.56,0.0021,7e-04,0.812,NA,1425,0.4898,NA,23053,0,0,0,0.0545,0,0,0.0394,0.103,0.0455,0.0333,0.1182,0.2394,0.0424,0,0,0.0515,0.7306,1354
33995,NA,"Southeast",0.3513,0.0224,0.0075,0.33,0.0017,8e-04,0.3268,NA,2408,0.4269,NA,17953,0,0,0.0311,0.0181,0,0.0026,0.0078,0.0829,0.013,0,0.0648,0.0026,0.0207,0.0959,0.2073,0.0052,0.733,1141
34723,NA,"Southeast",0.8447,0.0597,0.0314,0.8,0.0022,7e-04,0.4678,NA,12246,0.4275,13845,NA,0,0,0.0272,0.0084,0,0,0.0121,0.0229,0.0044,0.002,0.0592,0.0259,0.0158,0.2098,0.0901,0.005,0.8729,1147
36010,NA,"Southeast",0.7721,0.0968,0.0375,0.73,0.0021,0,0.5847,NA,961,0.4475,NA,19186,0,0,0.0757,0.0108,0,0,0.027,0.1568,0.0108,0.0216,0.0595,0.1081,0.0541,0.0649,0.1568,0.027,0.4795,1146
25267,NA,"Southeast",0.8923,0.0308,0.0615,0,0,0,0.3158,NA,65,0.6308,NA,12365,0,0,0,0,0,0,0,0,0,0.1538,0,0,0,0,0,0,0.4906,1032
28586,NA,"Southeast",0.1778,0.6264,0.0326,1.39,0.0016,0.0024,0.1798,NA,1226,0.4184,10109,NA,0,0,0.0569,0.0534,0,0,0.0142,0.0356,0.0142,0,0.0641,0.0356,0.0214,0.2242,0.089,0,0.7217,937
35560,NA,"Southeast",0.6679,0.1277,0.0192,1.15,0.0064,0,0.4204,NA,783,0.5147,NA,24623,0,0,0.0625,0,0,0,0.0078,0.0625,0.0156,0.0156,0.0938,0.0156,0.1328,0.0547,0.1797,0.0391,0.6416,1115
43231,NA,"Southeast",0.7544,0.075,0.049,2.79,0.0015,8e-04,0.6616,NA,21746,0.4452,18523,NA,0.0118,8e-04,0.083,0.0261,0,0.1083,0.0169,0.0553,0.0094,0.0027,0.0457,0.0434,0.033,0.1061,0.1905,0.0122,0.9448,1239
35322,NA,"Southeast",0.6554,0.1733,0.0299,0.2,0.004,0,0.3354,NA,502,0.5857,NA,18931,0,0,0,0,0,0,0,0.0505,0,0,0.0707,0,0.0101,0.2424,0.1717,0.0606,0.3744,1016
40653,NA,"Southeast",0.7178,0.1157,0.0531,4.02,0.0012,3e-04,0.5654,NA,14488,0.4803,16692,NA,0,0.0081,0.0753,0,0,0.1444,0.0195,0.0425,0.0068,0.0055,0.0535,0.0581,0.0324,0.1048,0.1515,0.0146,0.7243,1227
32779,NA,"Southeast",0.7568,0.0714,0.083,0.87,0.0048,0.001,0.3673,NA,1036,0.2838,NA,22128,0,0,0.0154,0,0,0,0.0116,0.027,0,0,0.0734,0,0,0.3398,0.2587,0,0.6059,1081
32395,NA,"Southeast",0.8849,0.0374,0.0194,0.48,0.0022,6e-04,0.4458,NA,6253,0.3957,12759,NA,0,0,0.038,0.0152,0,0,0.0173,0.0497,0.0131,0.0028,0.0249,0.0373,0.0394,0.1768,0.1305,0.0076,0.7926,1150
33889,NA,"Southeast",0.8231,0.0628,0.0205,0.73,0.0015,1e-04,0.5547,NA,6830,0.4089,12242,NA,0,0,0.0642,0.0327,0,0.0082,0.0169,0.0251,0.0105,0.0012,0.028,0.0193,0.0344,0.1489,0.1185,0.0117,0.8142,1180
38625,NA,"Southeast",0.8115,0.0744,0.033,1.18,0.0025,7e-04,0.4248,NA,10201,0.4294,9244,NA,0,0,0.0743,0.0829,0,0,0.0225,0.0298,0.0104,0.0017,0.0393,0.0324,0.0596,0.1149,0.2573,0.0207,0.8926,1148
39884,NA,"Southeast",0.6764,0.1759,0.0461,1.57,0.0031,0,0.386,NA,955,0.3079,NA,23596,0,0,0.0292,0,0,0,0.0109,0,0,0,0.0985,0.0182,0.0803,0.4635,0.1642,0,0.9595,1065
44902,NA,"Southeast",0.7688,0.0918,0.026,0.57,0.0013,0.0032,0.4828,NA,1579,0.4934,NA,17828,0,0,0.0466,0.0087,0,0,0.0087,0.0496,0.0058,0.0058,0.0496,0.0146,0.0117,0.1487,0.4606,0.0292,0.9003,1099
35470,NA,"Southeast",0.7953,0.0547,0.0385,1.62,0.001,0,0.7545,NA,987,0.4053,NA,24588,0,0,0.0474,0.019,0,0,0.0569,0.1611,0.0237,0.0237,0.0806,0.1232,0.0521,0,0.2085,0.0142,0.8881,1275
31293,NA,"Southeast",0.6999,0.1406,0.0229,0.2,0.006,0.002,0.267,NA,1003,0.4835,NA,21586,0,0,0.0373,0.0248,0,0,0.0248,0.0373,0.0124,0,0.0497,0.0248,0,0.2857,0.1677,0.0124,0.5634,1056
33301,NA,"Southeast",0.7827,0.0914,0.0345,1.63,0.0024,0.0011,0.4456,NA,13959,0.4197,12776,NA,0.009,0.002,0.0669,0.0178,0,0.0266,0.0133,0.0359,0.0079,0.0025,0.0364,0.0571,0.0311,0.1438,0.1898,0.0071,0.9721,1162
39447,NA,"Southeast",0.6471,0.1415,0.1048,2.02,0.0055,0.0018,0.6013,NA,544,0.4283,NA,25449,0,0,0.0291,0,0,0,0.0291,0.2136,0.0097,0.0291,0.1165,0.0971,0.1553,0,0.1942,0.0194,0.5969,1173
27399,NA,"Southeast",0.0107,0.9012,0.0151,0.12,0.0015,2e-04,0.3298,NA,4110,0.3964,18915,NA,0,0,0.0471,0.0471,0,0,0.0036,0.096,0.0091,0,0.0851,0.0272,0.029,0,0.192,0.0217,0.9475,944
32533,NA,"Southeast",0.6405,0.1964,0.0236,1.35,0.0658,0,0.2965,NA,2673,0.2937,7835,NA,0,0,0.0375,0,0,0,0.0287,0.0265,0.0044,0,0.0751,0,0,0.2737,0.1722,0.0088,0.5645,1050
44326,NA,"Southeast",0.7067,0.1254,0.0672,4.5,0.0044,0.0012,0.6657,NA,23468,0.474,15428,NA,0.0148,0,0.0651,0.0194,0,0.1663,0.019,0.0742,0.0082,0.0047,0.0359,0.0497,0.0249,0.0188,0.2288,0.0128,0.7423,1242
35071,NA,"Southeast",0.5223,0.2152,0.0543,1.56,0.0046,9e-04,0.3252,NA,2175,0.406,9233,NA,0,0,0.0226,0.0754,0,0,0.0176,0.0905,0.0176,0,0.0955,0.0226,0.0578,0.1131,0.2035,0.0151,0.8652,1133
39073,NA,"Southeast",0.6435,0.2495,0.031,0.86,0.0086,0.0011,0.2955,NA,934,0.5289,NA,12789,0,0,0.0361,0,0,0,0.012,0.0723,0,0.0301,0.0301,0,0.0361,0.259,0.1024,0.0301,0.7847,1084
40209,NA,"Southeast",0.7057,0.1302,0.0411,1.38,0.0044,5e-04,0.5363,NA,8198,0.5573,9839,NA,0.0153,0,0.0159,0.0259,0,0.1607,0.01,0.0544,0.0086,0,0.0345,0.0325,0.0232,0.0996,0.1707,0.0093,0.6307,1219
35432,NA,"Southeast",0.4665,0.1667,0.1834,3.35,0.0049,0.0014,0.6104,NA,2868,0.3651,NA,20776,0,0.0021,0.0794,0.0021,0,0,0.0708,0.0408,0.0043,0.0258,0.0858,0.0987,0.2511,0.0215,0.2103,0.0322,0.9431,1192
35891,NA,"Southeast",0.6782,0.1662,0.038,1.56,0.0051,8e-04,0.4517,NA,6022,0.4083,10788,NA,0,0,0.0232,0.0195,0,0.0826,0.0111,0.0306,0.0056,0,0.0473,0.0501,0.0232,0.1317,0.1716,0.0046,0.7032,1127
36166,NA,"Southeast",0.4957,0.179,0.1383,8.87,0.0022,7e-04,0.3683,NA,5909,0.5069,10541,NA,0,0,0,0.0423,0,0.1286,0.0238,0.1013,0.0123,0.0053,0.0678,0.0344,0.0819,0,0.2863,0.0159,0.5726,1136
35674,NA,"Southeast",0.6883,0.1892,0.0393,1.08,0.02,4e-04,0.4502,NA,5543,0.3603,11266,NA,0,0,0.02,0,0.0466,0,0.0166,0.0349,0.0075,0,0.0357,0.0191,0.0241,0.1488,0.1746,0.0175,0.937,1117
34857,NA,"Southeast",0.6008,0.2533,0.0248,1.81,0.0043,3e-04,0.4375,NA,6293,0.3471,9361,NA,0,0,0.033,0.026,0,0,0.0181,0.0574,0.0094,0,0.0889,0.0189,0.0157,0.2872,0.1684,0.0149,0.7101,1135
35254,NA,"Southeast",0.5278,0.3168,0.0628,0.68,0.014,0.0012,0.446,NA,8265,0.284,11049,NA,0,0,0.013,0.028,0,0,0.0048,0.0471,0.0014,0,0.0655,0,0.0375,0.2538,0.1228,0.015,0.8198,1102
49307,NA,"Southeast",0.6616,0.1745,0.0915,2.76,0.0076,0.0038,0.3505,NA,1049,0.1535,NA,16226,0,0,0,0,0,0,0,0.0038,0,0,0,0,0,0.9693,0,0,0.592,1120
